,review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
218,R37F42INKX7L9K,5,45,49,N,Y
557,R2EHKYNEP8WVSR,5,25,25,N,Y
560,RXOS7BHID0UHL,5,16,27,N,N
909,R33HHGFPB403GM,5,19,21,N,Y
1232,RY9O9XNLP464N,2,19,22,N,Y
2069,R2VP11C28JAEZF,5,30,30,N,Y
2256,R1TXGR1HA2M3P3,5,28,29,N,Y
2386,R6OD85TMEMHQQ,5,28,28,N,Y
3073,R1G4PAJXP3FTN7,2,43,51,N,Y
3329,R2P2S8UGUMCOLX,5,21,22,N,Y
3698,RBTQKXGJ9RP7C,1,33,33,N,Y
3842,R342L93CXGDZO5,2,73,76,N,Y
3894,R31Z97KFD4HMNF,3,23,26,N,Y
3927,R2NDB7EQLYK87A,5,44,46,N,Y
4143,R1C0W0OSBCVXC2,1,45,46,N,Y
4582,R154Q41ID7FTFC,5,24,26,N,Y
4613,R3GFX9ZNZ0T3TA,1,35,35,N,Y
4982,R2H8MH0N2IZKMY,5,22,23,N,Y
5372,R1MYE8WQ3812L8,5,17,20,N,Y
5397,RYSL8MU2858GB,5,71,73,N,Y
5467,R2AA1L5ELMHC99,3,156,159,N,Y
5807,R1NAX488QFLAMK,4,26,27,N,Y
6017,R1LKHB01N26RHL,4,27,30,N,Y
6416,R15ANY3PXYBDIG,5,22,23,N,N
6552,R1SFMA1XAAUIVG,5,37,38,N,Y
7019,RQN5511LDI736,5,53,59,N,Y
7051,R24CNRZ8PBOV6R,5,41,45,N,Y
7066,R3SCQZGVCXXA8V,5,68,75,N,Y
7986,R10JQ538S0XCEU,5,59,67,N,Y
8004,R1SSAYFE7GM22N,3,20,21,N,Y
8320,R27HGME2K59VZ5,1,29,31,N,Y
8703,R3ES7IGV9K151G,5,25,26,N,Y
8706,R393YEJM2GY78F,5,22,22,N,Y
9000,R3KSD21XF2ZAGF,2,38,42,N,Y
9128,R9V33TO6BX0US,1,24,26,N,Y
9376,R1LR2KEUC6ISDP,4,20,22,N,Y
9681,RTB28YRHGE7NW,5,25,25,N,Y
9829,R3O5IYUU3ZUJHG,3,18,21,N,Y
10621,RTDIQ4TBLNLW0,1,25,26,N,Y
10876,R2FGZ1QP17EQY2,2,8,20,N,Y
11077,R26M368N4R90HD,5,25,26,N,Y
11246,ROA0K86IHBBQS,5,19,22,N,N
11283,R1W1NW23BCX7QK,5,30,32,N,Y
11716,R1OBDT3WHQ2IF7,5,30,33,N,Y
